subplotx,Actinodaphne angustifolia,Actinodaphne borneensis,Actinodaphne indet,Adinandra borneensis,Adinandra dumosa,Aglaia angustifolia,Aglaia crassinervia,Aglaia indet,Aglaia leptantha,Aglaia luzoniensis,Aglaia macrocarpa,Aglaia odoratissima,Aglaia oligophylla,Aglaia palembanica,Aglaia silvestris,Aglaia tomentosa,Alangium havilandii,Alangium javanicum,Alphonsea javanica,Alseodaphne bancana,Alseodaphne oblanceolata,Alstonia angustiloba,Alstonia iwahigensis,Anisophyllea indet,Anisoptera costata,Antiaris toxicaria,Antidesma coriaceum,Antidesma cuspidatum,Antidesma leucopodum,Antidesma neurocarpum,Antidesma stipulare,Aporosa acuminata,Aporosa benthamiana,Aporosa confusa,Aporosa elmeri,Aporosa falcifera,Aporosa frutescens,Aporosa gigi-tomentose,Aporosa grandistipula,Aporosa granularis,Aporosa indet,Aporosa lucida,Aporosa lunata,Aporosa nervosa,Aquilaria beccariana,Aquilaria malaccensis,Archidendron clypearia,Archidendron ellipticum,Archidendron microcarpum,Ardisia macrophylla,Ardisia purpurea,Artocarpus anisophyllus,Artocarpus elasticus,Artocarpus glaucus,Artocarpus integer,Artocarpus odoratissimus,Artocarpus tamaran,Baccaurea angulata,Baccaurea edulis,Baccaurea lanceolata,Baccaurea latifolia,Baccaurea macrocarpa,Baccaurea odoratissima,Baccaurea parviflora,Baccaurea pubera,Baccaurea tetrandra,Barringtonia indet,Barringtonia lanceolata,Barringtonia macrostachya,Barringtonia sarcostachys,Beilschmiedia cuadrae,Beilschmiedia dicxyonsura,Beilschmiedia lucidula,Beilschmiedia micrantha,Bhesa paniculata,Blumeodendron kurzii,Blumeodendron tokbrai,Bridelia glauca,Bridelia pustulata,Brownlowia peltata,Buchanania sessilifolia,Callicarpa pentandra,Calophyllum blancoi,Calophyllum gracilipes,Calophyllum macrocarpum,Calophyllum pyriforme,Calophyllum soulattri,Calophyllum woodii,Campylospermum serratum,Canarium decumanum,Canarium denticulatum,Canarium littorale,Canarium odontophyllum,Canarium pilosum,Canarium tomentosum,Carallia borneensis,Carallia brachiata,Casearia kostermansii,Castanopsis evansii,Castanopsis hypophoenicea,Castanopsis inermis,Cephalomappa malloticarpa,Chionanthus curvicarpus,Chionanthus macrocarpus,Chionanthus pluriflorus,Chisocheton ceramicus,Chisocheton macranthus,Chisocheton patens,Chisocheton pentandrus,Chisocheton sarawakanus,Cleistanthus erycibifolius,Cleistanthus indet,Cleistanthus myrianthus,Cleistanthus paxii,Cleistanthus pubens,Cleistanthus rufescens,Cowiea borneensis,Cratoxylum arborescens,Cratoxylum cochinchinense,Cratoxylum sumatranum,Croton griffithii,Croton oblongus,Croton pendulus,Crudia indet,Crudia subsimplicifolia,Crudia tenuipes,Crypteronia griffithii,Cryptocarya erectinervia,Cryptocarya ferrea,Cryptocarya impressa,Cryptocarya nigra,Cryptocarya nitens,Cyathocalyx deltoideus,Dacryodes costata,Dacryodes laxa,Dacryodes macrocarpa,Dacryodes rostrata,Dacryodes rugosa,Dasymaschalon ellipticum,Decaspermum humile,Decaspermum parviflorum,Dehaasia caesia,Dehaasia incrassata,Dendrocnide elliptica,Dialium indum,Dialium kunstleri,Dialium platysepalum,Dillenia borneensis,Dimocarpus longan,Diospyros andamanica,Diospyros curranii,Diospyros dictyoneura,Diospyros elliptifolia,Diospyros eriantha,Diospyros indet,Diospyros macrophylla,Diospyros pilosanthera,Diospyros squamifolia,Diplodiscus paniculatus,Diplodiscus parviflorus,Diplospora malaccensis,Dipterocarpus applanatus,Dipterocarpus caudiferus,Dipterocarpus confertus,Dipterocarpus gracilis,Dipterocarpus indet,Dipterocarpus kunstleri,Dracontomelon costatum,Dryobalanops lanceolata,Drypetes castilloi,Drypetes crassipes,Drypetes longifolia,Drypetes polyneura,Duabanga moluccana,Durio grandiflorus,Durio graveolens,Durio oxleyanus,Dysoxylum cauliflorum,Dysoxylum cyrtobotryum,Dysoxylum densiflorum,Dysoxylum excelsum,Elaeocarpus floribundus,Elaeocarpus glaber,Elaeocarpus macrocerus,Elaeocarpus pedunculatus,Elaeocarpus stipularis,Endiandra micrantha,Endiandra rubescens,Endospermum diadenum,Endospermum peltatum,Enicosanthum grandiflorum,Enicosanthum paradoxum,Eusideroxylon zwageri,Ficus annulata,Ficus beccarii,Ficus caulocarpa,Ficus dubia,Ficus geocharis,Ficus hispida,Ficus lepicarpa,Ficus microcarpa,Ficus septica,Ficus subterranea,Ficus treubii,Ficus uncinata,Ficus variegata,Flacourtia rukam,Fordia brachybotrys,Fordia splendidissima,Garcinia benthamiana,Garcinia forbesii,Garcinia indet,Garcinia mangostana,Garcinia nervosa,Garcinia parvifolia,Garcinia scortechinii,Gironniera nervosa,Glochidion borneensis,Glochidion elmeri,Glochidion glomerulatum,Glochidion indet,Glochidion lutescens,Glochidion rubrum,Gluta aptera,Gluta indet,Gluta wallichii,Gonystylus affinis,Gonystylus keithii,Gymnacranthera forbesii,Harpullia arborea,Heritiera elata,Heritiera simplicifolia,Heynea trijuga,Homalium foetidum,Hopea plagata,Hopea sangal,Horsfieldia borneensis,Horsfieldia crassifolia,Horsfieldia splendida,Hubera rumphii,Hydnocarpus anomala,Hydnocarpus anomalus,Hydnocarpus borneensis,Hydnocarpus polypetalus,Hydnocarpus woodii,Indet indet,Intsia bijuga,Irvingia malayana,Ixonanthes petiolaris,Jackiopsis indet,Kayea longifolia,Knema conferta,Knema glauca,Knema glomerata,Knema latericia,Knema latifolia,Knema laurina,Knema oblongata,Knema pulchra,Koilodepas longifolium,Koompassia excelsa,Koordersiodendron pinnatum,Lansium domesticum,Licania splendens,Lindera lucida,Lithocarpus blumeanus,Lithocarpus conocarpus,Lithocarpus echinifer,Lithocarpus elegans,Lithocarpus gracilis,Lithocarpus indet,Lithocarpus leptogyne,Lithocarpus lucidus,Lithocarpus nieuwenhuisii,Lithocarpus orocola,Lithocarpus revolutus,Lithocarpus sundaicus,Lithocarpus urceolaris,Litsea accedens,Litsea angulata,Litsea caesia,Litsea castanea,Litsea caulocarpa,Litsea cuprea,Litsea elliptica,Litsea erectinervia,Litsea ferruginea,Litsea ficoidea,Litsea firma,Litsea garciae,Litsea grandis,Litsea indet,Litsea lancifolia,Litsea mappacea,Litsea oppositifolia,Litsea orocola,Litsea rubiginosa,Lophopetalum beccariana,Lophopetalum beccarianum,Lophopetalum glabrum,Lophopetalum indet,Lophopetalum javanicum,Lophopetalum multinervium,Ludekia borneensis,Maasia Sumatrana,Maasia glauca,Maasia sumatrana,Macaranga bancana,Macaranga conifera,Macaranga gigantea,Macaranga hypoleuca,Macaranga indistincta,Macaranga pearsonii,Macaranga winkleri,Madhuca dubardii,Madhuca elmeri,Madhuca kingiana,Madhuca korthalsii,Madhuca spectabilis,Magnolia borneensis,Magnolia candollei,Magnolia candollii,Magnolia champaca,Magnolia gigantifolia,Magnolia liliifera,Magnolia tsiampacca,Mallotus indet,Mallotus korthalsii,Mallotus lackeyi,Mallotus leucodermis,Mallotus mollissimus,Mallotus muticus,Mallotus paniculatus,Mallotus peltatus,Mallotus penangensis,Mallotus philippensis,Mallotus stipularis,Mallotus wrayi,Mangifera decandra,Mastixia trichotoma,Meiogyne virgata,Melanochyla auriculata,Melanochyla bullata,Melanochyla tomentosa,Melicope accedens,Melicope confusa,Melicope hookeri,Melicope lunu-ankenda,Meliosma sumatrana,Memecylon oleaefolium,Mesua borneensis,Microcos antidesmifolia,Microcos crassifolia,Microcos fibrocarpa,Microcos indet,Microcos sumatrana,Microcos triflora,Miliusa macropoda,Monoon erianthoides,Monoon xanthopetalum,Myristica cinnamomea,Myristica maxima,Myristica smythiesii,Nauclea officinalis,Nauclea subdita,Neesia strigosa,Neesia synandra,Neo-uvaria acuminatissima,Neolamarckia cadamba,Neonauclea gigantea,Neoscortechinia kingii,Neoscortechinia philippinensis,Nephelium Ramboutan-ake,Nephelium cuspidatum,Nephelium mangayi,Nephelium ramboutan-ake,Nephelium rambutan,Nephelium subfalcatum,Nephelium uncinatum,Nothaphoebe umbelliflora,Ochanostachys amentacea,Octomeles sumatrana,Oreocnide trinervis,Orophea myriantha,Palaquium beccarianum,Palaquium dasyphyllum,Palaquium obovatum,Palaquium rostratum,Palaquium sericeum,Paranephelium joannis,Paranephelium macrophyllum,Paranephelium xestophyllum,Parartocarpus bracteata,Parashorea malaanonan,Parashorea smythiesii,Parashorea tomentella,Parinari oblongifolia,Parishia insignis,Payena acuminata,Payena ferruginea,Payena microphylla,Peltophorum racemosum,Pentace adenophora,Pentace erectinervia,Pentace laxiflora,Phaeanthus splendens,Phoebe grandis,Pipturus argentus,Planchonia brevistipitata,Planchonia grandis,Planchonia valida,Pleiocarpidia polyneura,Pleiocarpidia sandakanica,Polyalthia cauliflora,Polyalthia indet,Polyalthia obliqua,Polyalthia rumphii,Polyalthia xanthopetala,Polyosma integrifolia,Pometia pinnata,Popowia hirta,Popowia pisocarpa,Porterandia anisophylla,Praravinia indet,Praravinia subtomentosa,Prunus beccarii,Prunus javanica,Prunus polystachya,Pseuduvaria borneensis,Pseuduvaria pamattonis,Pseuduvaria reticulata,Psydrax dicoccos,Pternandra caerulescens,Pternandra cogniauxii,Pterocymbium tinctorium,Pterocymbium tubulatum,Pterospermum elongatum,Pterospermum javanicum,Pterygota alata,Ptychopyxis bacciformis,Pyrenaria tawauensis,Quercus argentata,Quercus lowii,Quercus merrillii,Reinwardtiodendron humile,Rinorea indet,Rothmannia schoemanii,Ryparosa acuminata,Sageraea elliptica,Santiria apiculata,Santiria griffithii,Santiria laevigata,Santiria tomentosa,Saraca declinata,Sarcotheca diversifolia,Saurauia indet,Saurauia tristyla,Scaphium longipetiolatum,Scaphium macropodum,Scorodocarpus borneensis,Semecarpus bunburyana,Semecarpus cuneiformis,Shorea almon,Shorea angustifolia,Shorea argentifolia,Shorea atrinervosa,Shorea beccariana,Shorea bracteolata,Shorea dasyphylla,Shorea faguetiana,Shorea falciferoides,Shorea fallax,Shorea gibbosa,Shorea guiso,Shorea indet,Shorea johorensis,Shorea laevis,Shorea leprosula,Shorea leptoderma,Shorea macrophylla,Shorea macroptera,Shorea ovalis,Shorea ovata,Shorea parvifolia,Shorea parvistipulata,Shorea pauciflora,Shorea pilosa,Shorea seminis,Shorea symingtonii,Shorea xanthopetala,Shorea xanthophylla,Sindora irpicina,Sindora velutina,Sloanea javanica,Spathiostemon javensis,Stelechocarpus cauliflorus,Sterculia coccinea,Sterculia cuspidata,Sterculia parviflora,Sterculia rubiginosa,Sterculia stipulata,Strombosia ceylanica,Sympetalandra borneensis,Symplocos fasciculata,Symplocos odoratissima,Syzygium antisepticum,Syzygium borneense,Syzygium caudatilimbum,Syzygium chloranthum,Syzygium claviflorum,Syzygium creaghii,Syzygium elliptilimbum,Syzygium fastigiatum,Syzygium grande,Syzygium havilandii,Syzygium hirtum,Syzygium imperiale,Syzygium indet,Syzygium kunstleri,Syzygium leucocladum,Syzygium linearicarpum,Syzygium lineatum,Syzygium longiflorum,Syzygium memecylon,Syzygium myrtifolium,Syzygium napiforme,Syzygium palawanense,Syzygium perpuncticulatum,Syzygium racemosum,Syzygium rheophyticum,Syzygium tawahense,Syzygium tenuicaudatum,Teijsmanniodendron bogoriense,Terminalia citrina,Terminalia foetidissima,Trema orientalis,Trichadenia zeylanica,Trigoniastrum hypoleucum,Trigonobalanus verticillata,Trigonopleura malayana,Tristaniopsis obovata,Tristaniopsis whiteana,Tristiropsis acutangula,Turpinia sphaerocarpa,Urophyllum congestifolium,Urophyllum glabrum,Urophyllum griffithianum,Vatica albiramis,Vatica dulitensis,Vatica oblongifolia,Vatica odorata,Vatica sarawakensis,Vatica umbonata,Vitex pinnata,Vitex vestita,Walsura pinnata,Xanthophyllum ellipticum,Xanthophyllum flavescens,Xanthophyllum indet,Xanthophyllum vitellinum,Xanthopyllum flavescens,Xylopia ferruginea,Xylopia fusca,Xylopia stenopetala,orophea myriantha,scaphium macropodum
B_North19,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
B_North2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,13.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_North20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
B_North21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_North22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
B_North23,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_North24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_North25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_North3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_North4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
B_North5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_North6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
B_North7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
